n, time_normal, time_opt, L3_normal, L3_opt, L2_normal, L2_opt, FLOPS_DP_normal, FLOPS_DP_opt, FLOPS_AVX_normal, FLOPS_AVX_opt
10,1.174336e-05,3.492734e-06,6310.9706,17957.2793,0.3433,0.3459,903.2152,2292.6865,0,763.5925,
32,0.0001,2.948857e-05,887.7816,3615.7738,0.1934,0.3073,686.1255,3768.9408,0,1773.4562,
50,0.0003,0.0001,597.5776,1815.4403,0.1970,0.2164,1473.7211,4883.1645,0,2253.6815,
64,0.0003,0.0001,412.0064,1289.7998,0.0377,0.0620,1433.4814,4291.9249,0,2080.8840,
100,0.0007,0.0002,378.0613,1092.0691,0.1153,0.0380,1441.6171,3814.4462,0,1869.8082,
128,0.0010,0.0003,246.7727,4580.5170,0.0626,0.0164,1567.3825,5135.0837,0,2528.0260,
200,0.0028,0.0008,4691.9063,15963.6731,0.3091,0.2541,1531.3247,4483.5307,0,2219.5642,
250,0.0044,0.0013,5613.2314,17842.0330,0.3609,0.2862,1463.9120,5121.5804,0,2520.1388,
256,0.0045,0.0013,6072.2396,21104.8160,0.3871,0.3020,1480.6677,4783.2762,0,2373.0947,
300,0.0062,0.0018,6305.2137,21468.9945,0.3890,0.2929,1291.9099,5138.4895,0,2552.2271,
400,0.0113,0.0033,6057.4079,20626.2686,0.3768,0.3076,1418.9400,5048.3993,0,2511.6399,
512,0.0188,0.0055,6379.7819,21297.0273,0.3709,0.3116,1382.4773,4747.2419,0,2364.3842,
600,0.0316,0.0087,6688.9345,21607.2147,0.3546,0.3281,1346.2296,4620.0159,0,2302.3329,
1000,0.0818,0.0394,9226.2386,18827.7193,0.3152,0.3126,1268.8238,3507.5330,0,1750.2658,
1024,0.0869,0.0376,9120.2658,21005.1800,0.3138,0.3194,1268.1153,3645.7749,0,1819.3339,
2000,0.3313,0.1308,9692.3912,24286.5995,0.3009,0.3082,1270.5423,3466.1025,0,1731.3199,
2048,0.3524,0.1344,9533.2124,24811.5561,0.2982,0.3311,1265.0555,3399.2692,0,1697.9764,
3000,0.7118,0.2679,10108.5873,27237.7411,0.2440,0.3060,1262.4430,3284.6508,0,1641.2312,
4096,1.3507,0.5034,9896.5777,27504.8904,0.2438,0.3421,1259.2637,3243.5803,0,1620.9986,
